(7, 5, 5.59)
(13, 12, 6.11)
(27, 13, 4.89)
(27, 23, 0)
(40, 23, 0.17)
(53, 19, 0.35)
(64, 14, 1.22)
(68, 5, 6.11)
(82, 5, 6.11)
(86, 7, 6.28)
(99, 7, 6.28)
(113, 7, 0.17)
(128, 5, 5.41)
(136, 15, 4.71)
(131, 28, 4.71)
(128, 40, 4.36)
(127, 52, 4.89)
(127, 58, 5.76)
(140, 65, 5.76)
(153, 71, 5.76)
(166, 80, 5.41)
(173, 93, 4.54)
(173, 108, 4.54)
(172, 121, 2.79)
(157, 116, 2.09)
(151, 103, 2.27)
(145, 91, 1.57)
(144, 77, 2.27)
(133, 68, 2.62)
(123, 66, 2.09)
(110, 59, 0.52)
(115, 55, 0)
(120, 55, 5.76)
