(6, 6, 5.06)
(7, 20, 5.06)
(7, 27, 6.28)
(19, 27, 4.71)
(21, 41, 5.24)
(27, 54, 4.19)
(20, 66, 5.41)
(22, 71, 6.11)
(36, 71, 5.24)
(40, 75, 0.7)
(52, 68, 0.17)
(65, 61, 0.17)
(73, 57, 1.92)
(71, 45, 1.05)
(73, 31, 0.87)
(85, 22, 5.76)
(88, 26, 5.24)
(89, 34, 0.7)
(92, 30, 1.05)
(93, 26, 5.76)
(107, 26, 5.06)
(107, 33, 0.52)
(110, 32, 1.05)
(112, 22, 5.76)
(126, 25, 5.76)
(140, 30, 0.17)
(153, 36, 4.71)
(154, 50, 6.11)
(168, 51, 1.05)
(170, 37, 6.11)
(179, 34, 1.22)
(181, 26, 6.28)
(193, 26, 1.4)
(193, 14, 3.14)
(179, 12, 3.14)
(172, 13, 5.06)
(172, 23, 3.49)
(157, 23, 3.14)
(143, 19, 2.62)
(134, 11, 1.92)
(133, 11, 1.92)
(132, 5, 2.79)
(117, 5, 3.49)
(110, 7, 3.32)
(96, 8, 3.32)
(82, 7, 2.97)
(71, 5, 3.84)
(64, 10, 4.71)
(64, 19, 3.49)
(50, 22, 3.49)
(37, 23, 3.49)
(27, 23, 1.4)
(27, 13, 2.97)
(12, 13, 4.01)
(9, 17, 4.01)
