(6, 5, 5.24)
(12, 12, 5.93)
(21, 13, 5.93)
(27, 13, 4.89)
(27, 23, 5.93)
(35, 23, 5.93)
(44, 24, 5.76)
(51, 30, 5.76)
(60, 34, 0.35)
(69, 36, 5.59)
(71, 41, 5.24)
(71, 51, 5.24)
(73, 57, 4.19)
(76, 56, 0)
(80, 54, 0)
(90, 54, 5.59)
(98, 56, 5.76)
(107, 54, 5.93)
(117, 54, 5.93)
(121, 55, 5.93)
(126, 58, 0.87)
(135, 62, 6.11)
(143, 67, 5.76)
(152, 71, 5.76)
(161, 75, 0.35)
(165, 70, 0)
(174, 71, 0)
(178, 70, 1.22)
(179, 61, 1.92)
(172, 54, 2.44)
(163, 51, 2.44)
(154, 50, 1.92)
(154, 40, 1.92)
(150, 31, 2.09)
(145, 23, 2.27)
(138, 17, 2.27)
(134, 10, 2.27)
(131, 6, 2.79)
(121, 6, 2.79)
(112, 8, 2.79)
(102, 8, 2.79)
(93, 7, 2.79)
(83, 7, 2.79)
(74, 5, 3.14)
(65, 8, 4.71)
(64, 17, 5.24)
(71, 24, 5.76)
(73, 29, 4.89)
(69, 36, 5.41)
