(6, 7, 5.76)
(16, 13, 5.93)
(26, 14, 5.59)
(28, 22, 5.93)
(39, 23, 0)
(50, 19, 0)
(61, 18, 0.52)
(66, 8, 0.52)
(73, 5, 6.11)
(84, 7, 6.11)
(94, 8, 0.7)
(106, 8, 0.7)
(112, 8, 0.7)
(123, 5, 6.28)
(134, 8, 5.06)
(136, 19, 5.59)
(147, 22, 5.41)
(152, 32, 5.24)
(153, 43, 5.24)
(155, 52, 5.93)
(167, 52, 0)
(176, 59, 5.41)
(179, 70, 3.49)
(167, 70, 3.84)
(161, 74, 4.89)
(168, 82, 4.54)
(166, 93, 3.32)
(155, 94, 3.14)
(143, 94, 3.49)
(132, 98, 3.67)
(125, 107, 4.19)
(124, 118, 4.01)
(116, 126, 2.79)
(113, 120, 3.31)
(102, 122, 1.57)
(102, 122, 1.57)
(90, 122, 1.22)
(90, 122, 1.22)
(80, 120, 3.31)
(80, 120, 3.31)
(70, 120, 1.39)
(70, 120, 1.39)
(63, 111, 3.31)
(63, 111, 3.31)
(61, 107, 5.58)
(54, 107, 2.27)
(54, 107, 2.27)
(45, 100, 0.87)
(35, 94, 3.66)
(35, 94, 3.66)
(32, 85, 5.58)
(33, 77, 6.11)
(41, 76, 2.96)
(33, 69, 4.01)
(33, 69, 4.01)
(22, 71, 1.92)
(19, 63, 1.39)
(17, 52, 5.58)
(11, 42, 0.35)
(16, 33, 5.58)
(21, 33, 2.09)
(16, 25, 3.83)
(8, 25, 1.74)
(8, 14, 6.28)
