(6, 4)
(7, 19)
(7, 26)
(19, 27)
(19, 40)
(25, 48)
(39, 52)
(45, 49)
(46, 35)
(58, 35)
(71, 35)
(71, 50)
(72, 58)
(62, 64)
(57, 74)
(55, 82)
(64, 87)
(76, 90)
(77, 95)
(84, 95)
(98, 95)
(113, 95)
(119, 95)
(122, 95)
(135, 87)
(140, 85)
(155, 81)
(164, 85)
(169, 82)
(161, 76)
(164, 71)
(173, 71)
(178, 69)
(179, 56)
(177, 52)
(166, 51)
(155, 51)
(153, 40)
(153, 33)
(141, 30)
(137, 34)
(125, 35)
(119, 25)
(114, 22)
(111, 24)
(111, 32)
(107, 32)
(107, 27)
(93, 26)
(92, 33)
(88, 33)
(87, 23)
(79, 21)
(79, 14)
(68, 16)
(66, 25)
(64, 12)
(65, 6)
(75, 5)
(88, 7)
(91, 8)
(100, 6)
(112, 8)
(127, 5)
(135, 7)
(135, 14)
(149, 20)
(160, 23)
(170, 23)
(172, 14)
(184, 12)
